area_id,area_type,municipality,block,treatment,registered,turnout,hollande_share
P_77079_2,Precinct,Champagne-sur-Seine,2866,1,818,0.7970660328865051,0.26059654355049133
M_77261,Municipality,Lorrez-le-Bocage-Préaux,2892,1,900,0.7988888621330261,0.20596590638160706
P_78015_5,Precinct,Andrésy,2933,1,796,0.7525125741958618,0.3022071421146393
P_93053_17,Precinct,Noisy-le-Sec,3451,1,937,0.6520811319351196,0.5604026913642883
P_94028_15,Precinct,Créteil,3479,1,839,0.711561381816864,0.4501718282699585
P_93048_43,Precinct,Montreuil,3446,0,1083,0.6842105388641357,0.41850829124450684
P_95018_33,Precinct,Argenteuil,3513,1,1262,0.7163233160972595,0.536889910697937
P_92040_39,Precinct,Issy-les-Moulineaux,3404,1,789,0.7465145587921143,0.33447685837745667
P_92032_9,Precinct,Fontenay-aux-Roses,3401,1,938,0.7388059496879578,0.49037036299705505
P_77373_19,Precinct,Pontault-Combault,2907,1,810,0.7185184955596924,0.3649122714996338
P_94068_22,Precinct,Saint-Maur-des-Fossés,3498,1,1141,0.8010517358779907,0.2901785671710968
P_92002_39,Precinct,Antony,3387,1,844,0.7085307836532593,0.5524957180023193
P_92019_5,Precinct,Châtenay-Malabry,3393,1,1061,0.8228086829185486,0.3352735638618469
P_94028_21,Precinct,Créteil,3480,1,816,0.7426470518112183,0.4343434274196625
P_95555_11,Precinct,Saint-Gratien,3547,1,1225,0.7297959327697754,0.3215909004211426
P_94058_4,Precinct,Le Perreux-sur-Marne,3490,1,1099,0.7734304070472717,0.25570228695869446
P_93031_14,Precinct,Epinay-sur-Seine,3434,1,883,0.6874291896820068,0.49069374799728394
P_95018_28,Precinct,Argenteuil,3513,1,1054,0.714421272277832,0.5290933847427368
P_94077_2,Precinct,Villeneuve-le-Roi,3507,1,772,0.7681347131729126,0.2898799180984497
P_78029_7,Precinct,Aubergenville,2934,1,856,0.7803738117218018,0.27633586525917053
P_95018_30,Precinct,Argenteuil,3513,1,940,0.7010638117790222,0.5164319276809692
P_91377_10,Precinct,Massy,3361,1,1139,0.8059701323509216,0.35105204582214355
P_77305_9,Precinct,Montereau-Fault-Yonne,2898,0,806,0.6377171277999878,0.5697211027145386
P_92049_22,Precinct,Montrouge,3410,1,978,0.7903885245323181,0.4200792610645294
P_95199_3,Precinct,Domont,3522,0,776,0.7615979313850403,0.24872231483459473
P_75110_1024,Precinct,"Paris, 10e arrondissement",2757,1,1559,0.8114175796508789,0.42252397537231445
P_78517_12,Precinct,Rambouillet,2978,1,873,0.7514318227767944,0.32710281014442444
P_93048_24,Precinct,Montreuil,3446,1,1077,0.6991643309593201,0.4021592438220978
P_95555_8,Precinct,Saint-Gratien,3547,1,1003,0.7308076024055481,0.33426183462142944
P_78486_1,Precinct,Le Perray-en-Yvelines,2957,1,996,0.7791164517402649,0.2963446378707886
P_92075_19,Precinct,Vanves,3420,0,834,0.8045563697814941,0.3453997075557709
P_91114_13,Precinct,Brunoy,3332,1,965,0.7730569839477539,0.25135868787765503
P_75106_601,Precinct,"Paris, 6e arrondissement",2781,1,1339,0.796863317489624,0.2613636255264282
P_91377_19,Precinct,Massy,3361,1,1089,0.7557392120361328,0.3884093761444092
P_95598_7,Precinct,Soisy-sous-Montmorency,3552,1,1107,0.7335140109062195,0.30759650468826294
P_92071_3,Precinct,Sceaux,3417,1,967,0.7890382409095764,0.3452380895614624
P_95607_6,Precinct,Taverny,3553,1,1108,0.7021660804748535,0.37169313430786133
P_94021_3,Precinct,Chevilly-Larue,3477,1,1249,0.8102481961250305,0.3879837095737457
M_91649,Municipality,Vert-le-Petit,3380,0,1901,0.8279852867126465,0.25
